Panchayat,Class 6 Boys,Class 6 Girls,Class 6 Total,Class 7 Boys,Class 7 Girls,Class 7 Total,Class 8 Boys,Class 8 Girls,Class 8 Total
Kairibirpur,96,73,169,87,89,176,85,68,153
Kamalpur,291,293,584,197,229,426,139,175,314
Kanakpur,493,526,1019,396,413,809,268,306,574
Karuwamani,49,44,93,56,49,105,50,58,108
Kasba Kaliaganj,101,110,211,86,101,187,64,88,152
Kathamatha,143,176,319,121,171,292,69,114,183
Khaniabad,150,127,277,115,112,227,105,114,219
Kharudah,226,210,436,145,148,293,122,154,276
Kochadhaman,158,125,283,148,109,257,102,111,213
Koltha,195,185,380,157,145,302,125,159,284
Kukurbaghi,97,80,177,91,68,159,54,83,137
Kusiyari,188,182,370,120,155,275,89,140,229
Kutti,172,163,335,98,142,240,104,127,231
Laucha,131,133,264,107,137,244,85,100,185
Laxmipur,71,91,162,73,101,174,65,115,180
Lohagara,111,90,201,97,135,232,84,98,182
Mahesh Bathana,94,97,191,45,57,102,25,56,81
Mahingaon,195,186,381,128,169,297,139,206,345
Malin Gaon,147,179,326,96,131,227,76,91,167
Mangura,120,193,313,118,134,252,109,146,255
Matiyari,74,107,181,44,81,125,25,53,78
Mazgama,123,130,253,106,101,207,95,127,222
Mazkuri,137,117,254,118,117,235,111,94,205
Mirjapur,107,104,211,107,117,224,83,66,149
Mohamadnagar,124,159,283,168,208,376,78,141,219
Motihara Taluka,197,215,412,176,188,364,155,152,307
Moudho,133,178,311,107,152,259,82,152,234
Natuapara,34,40,74,38,31,69,27,41,68
Naukatta,91,88,179,93,95,188,64,95,159
Nazarpur,78,73,151,37,48,85,35,68,103
Nisandra,87,82,169,65,85,150,47,93,140
Paharkatta,73,64,137,42,58,100,38,28,66
Palasmani,59,74,133,64,83,147,38,58,96
Panasi,114,96,210,63,76,139,59,67,126
Parlabari,136,123,259,105,133,238,94,73,167
Patesari,48,78,126,53,54,107,50,53,103
Patharghatti,89,96,185,57,70,127,53,74,127
Pathria,25,34,59,16,21,37,17,14,31
Patkoi Kala,84,82,166,71,88,159,69,66,135
Pichhla,80,77,157,81,84,165,41,77,118
Purandaha,50,51,101,56,61,117,48,45,93
Rasia,110,111,221,74,86,160,70,104,174
Raypur,148,147,295,125,136,261,129,123,252
Sakhua Dali,157,131,288,110,102,212,146,159,305
Samesar,150,127,277,119,121,240,104,115,219
Sarogora,123,117,240,96,107,203,97,69,166
Satkauwa,95,105,200,99,137,236,36,66,102
Shitalpur,126,175,301,120,137,257,88,107,195
Singhi Mari,91,127,218,51,120,171,41,109,150
Singhia Kulamani,69,91,160,65,79,144,107,109,216
Sontha,199,225,424,147,170,317,118,141,259
Sunder Bari,44,73,117,61,74,135,52,84,136
Tara Bari Padampur,60,91,151,52,86,138,54,67,121
Tatpaua,156,186,342,113,118,231,88,94,182
Tegharia,131,166,297,96,133,229,98,136,234
Teusa,193,217,410,151,197,348,144,205,349
Tipijhari,77,95,172,76,80,156,91,65,156
Tulsia,92,69,161,78,84,162,78,89,167
Udgara,126,116,242,93,109,202,100,88,188
Unknown,1409,1174,2583,1301,1259,2560,1294,1171,2465
