bldStatus,bldStatusId,bldBlkTot,bldBlk,bndrywallType,bndryWallTypeId,clsrmsInst,othrooms,clsrmsGd,clsrmsGdPpu,clsrmsGdKuc,clsrmsGdTnt,clsrmsMin,clsrmsMinPpu,clsrmsMinKun,clsrmsMinTnt,clsrmsMaj,clsrmsMajPpu,clsrmsMajKuc,clsrmsMajTnt,toiletYn,toiletb,toiletbFun,toiletg,toiletgFun,toiletbCwsnFun,toiletgCwsnFun,urinalsb,urinalsg,handwashYn,handwashYnDesc,drinkWaterYn,drinkWaterYnDesc,handwashMealYn,handwashMealYnDesc,electricityYn,electricityYnDesc,solarpanelYn,solarpanelYnDesc,libraryYn,libraryYnDesc,playgroundYn,playgroundYnDesc,medchkYn,medchkYnDesc,rampsYn,rampsYnDesc,handrailsYn,handrailsYnDesc,stusHvFurnt,integratedLabYn,tinkeringLabYn,laptopTot,tabletsTot,tabletsFun,desktopFun,digiBoardTot,projectorTot,printerTot,internetYn,internetYnDesc,rainHarvestYnDesc,hmRoomYn,hmRoomYnDesc,ictLabYn,ictLabYnDesc,accessDthYn,accessDthYnDesc,rainHarvestYn,schoolId,yearId,yearDesc,stateId,districtId,districtName,blockId,blockName,schoolName
3-Government,3,3,3,1-Pucca,1,8,0,8,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,105,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2412448,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS RUHIYA
3-Government,3,5,2,5-No Boundary walls,5,6,1,2,0,0,0,0,0,0,0,0,4,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,24,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,2,2-No,9,NA,2,2-No,9,2430171,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADARSA REFAHUL MUSLEMIN RIZVI NAGAR EKRA KUMHIA
3-Government,3,2,2,5-No Boundary walls,5,12,0,12,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,210,1,2,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2487849,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MS LAUCHA
3-Government,3,2,2,5-No Boundary walls,5,6,0,6,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2491113,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS NATWAPARA
3-Government,3,5,5,5-No Boundary walls,5,5,5,5,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2417408,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S.SAHEB GANJ
3-Government,3,2,2,1-Pucca,1,8,0,4,0,0,0,0,0,0,0,4,0,0,0,1,1,1,1,1,0,0,10,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,145,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2489641,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MAZKURI
3-Government,3,4,4,5-No Boundary walls,5,12,2,10,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,68,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2466582,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  DHOBINIA
3-Government,3,2,2,2-Pucca but Broken,2,6,0,4,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2437387,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS DANTI
3-Government,3,5,5,5-No Boundary walls,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2434351,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS KOAIMARI
3-Government,3,2,2,5-No Boundary walls,5,5,0,3,0,0,0,0,0,0,0,2,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,150,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,2,2-No,2,2-No,9,2455057,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS BHERBHERI
3-Government,3,4,4,5-No Boundary walls,5,11,0,11,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2453859,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA REJAUL ULUM CHORKATTA KURHELA
3-Government,3,2,2,1-Pucca,1,17,2,10,0,0,0,5,0,0,0,2,0,0,0,1,2,1,3,2,0,0,2,3,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,150,2,2,0,0,0,0,0,1,1,1,1-Yes,NA,1,1-Yes,2,2-No,2,2-No,9,2491727,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS  LAXMIPUR BURZTOLA
3-Government,3,1,1,5-No Boundary walls,5,7,0,7,0,0,0,0,0,0,0,0,0,0,0,1,2,2,2,2,0,0,2,2,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2453475,9,2022-23,110,2008,KISHANGANJ,20100,BAHADURGANJ,UMS GUNA CHAURASI
3-Government,3,1,1,5-No Boundary walls,5,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,2,2-No,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,9,NA,2,2-No,9,2447478,9,2022-23,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS NAWDUBA FATAK SINGH TOLA
3-Government,3,2,2,5-No Boundary walls,5,8,0,6,0,0,0,2,0,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,2,2-No,2,2-No,9,NA,0,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,2,2-No,2,2-No,9,2470297,9,2022-23,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS MEHANDIPUR
3-Government,3,4,3,1-Pucca,1,8,1,0,0,0,0,4,0,0,0,4,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,1,1-Yes,100,9,9,0,0,0,0,0,0,0,1,1-Yes,NA,1,1-Yes,2,2-No,2,2-No,9,2479959,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS DAHI BHAT KALA
3-Government,3,2,2,5-No Boundary walls,5,6,1,6,0,0,0,0,0,0,0,0,0,0,0,1,2,2,3,3,0,0,2,2,2,2-No,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,80,9,9,0,0,0,0,0,0,0,2,2-No,NA,1,1-Yes,2,2-No,2,2-No,9,2482681,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,UMS  SAITHA BARI
3-Government,3,2,0,1-Pucca,1,8,0,0,6,0,0,0,2,0,0,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1-Yes,1,1-Yes,2,2-No,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,2,2-No,9,NA,145,9,9,0,0,0,0,0,0,0,2,2-No,NA,2,2-No,9,NA,2,2-No,9,2455818,9,2022-23,110,2008,KISHANGANJ,20097,POTHIA,MADARSA  REYAZUL  ULOOM SINGHIMARI
3-Government,3,8,8,2-Pucca but Broken,2,26,1,18,0,0,0,8,0,0,0,0,0,0,0,1,6,4,6,4,1,1,7,7,1,1-Yes,1,1-Yes,1,1-Yes,1,1-Yes,2,2-No,2,2-No,2,2-No,2,2-No,1,1-Yes,1,1-Yes,150,1,2,0,0,0,10,0,0,1,1,1-Yes,NA,1,1-Yes,1,1-Yes,2,2-No,9,2434350,9,2022-23,110,2008,KISHANGANJ,20099,DIGHAL BANK,MS LAXMIPUR TALGACH
