totalBoy,totalGirl,totalCount,totalTeacherCon,totalTeacherReg,totalTeacherMale,totalTeacherFemale,schoolId,yearId,stateId,districtId,districtName,blockId,blockName,schoolName
163,225,388,0,12,8,4,2498287,11,110,2008,KISHANGANJ,20098,THAKURGANJ,"UCHH MADHYAMIK VIDYALAY, BHOGDABAR"
115,109,224,0,8,1,7,2440801,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS ANDABARI
46,54,100,0,3,2,1,2490354,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,N.P.S TELIBHITA SHERSHAHWADI TOLA
56,51,107,0,3,3,0,2442832,11,110,2008,KISHANGANJ,20097,POTHIA,MADARSA ISLAMIA TALIMUL QURAN KOLTHA MARIA
55,53,108,0,5,5,0,2432205,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADRASA NURUL ULOOM BISANPUR DORIA
9,10,19,0,7,6,1,2452825,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,NEW SUNRISE PUBLIC SCHOOL
60,63,123,0,8,4,4,2502286,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UCHH MADHYAMIK VIDYALAY BHOJPUR BALUA
42,52,94,0,3,1,2,2477772,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,PS KAMATOLA DURGAPUR
113,138,251,0,7,5,2,2443029,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS ANDHASUR KASHTOLA
91,92,183,0,2,2,0,2406189,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS TETAL GURI
39,43,82,0,9,4,5,2503458,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NEXUS ENGLISH ACADEMY
69,74,143,0,5,5,0,2490349,11,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA ISLAMIYA FAIJUL GURBA PIPRA
95,103,198,0,4,4,0,2447481,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADRASA NUSRATUL ISLAM LAITOR
35,37,72,0,5,3,2,2410980,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS KANCHAN NALA
91,156,247,0,5,3,2,2498288,11,110,2008,KISHANGANJ,20098,THAKURGANJ,"UCHH MADHYAMIK VIDYALAY, BHOLMARA"
166,194,360,0,10,4,6,2483982,11,110,2008,KISHANGANJ,20097,POTHIA,UMS  ARRA BARI
92,65,157,0,7,6,1,2472072,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,NIDAN ACADEMY BAIGANA
51,45,96,0,2,1,1,2463002,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS THIKABASTI
45,38,83,0,4,4,0,2432204,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA ISLAMIYA FAIZUL GHORABA
33,55,88,0,6,6,0,2477586,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,MADRASA RAHAMANIA NAYIHAT SONTHA
54,66,120,0,2,0,2,2442716,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,PS KANYA BENI
63,129,192,0,11,6,5,2498330,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,"UCHH MADHYAMIK VIDYALAY, BHOURADAH"
164,139,303,0,9,7,2,2445429,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS ASURA
112,120,232,0,8,8,0,2433619,11,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA ISLAMIYA GOSHIYA SUFIA
84,103,187,0,6,6,0,2479234,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADRASA RAHAMNIA KHARSEL CHIKABARI (NAWAB)
24,18,42,0,6,1,5,2503503,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NIGAM SHISHU TIRTHA
53,46,99,0,2,1,1,2478480,11,110,2008,KISHANGANJ,20096,TERHA GACHH,PS KARBLA TOLA MUSHARA
42,49,91,0,2,2,0,2477418,11,110,2008,KISHANGANJ,20096,TERHA GACHH,NPS THOAPARA
55,91,146,0,10,2,8,2501614,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,UCHH MADHYAMIK VIDYALAY BILASI
199,260,459,0,6,4,2,2470114,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS ATHGACHHIA
46,81,127,0,3,0,3,2489642,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS THUTHIPAKAR
5,6,11,0,4,3,1,2420660,11,110,2008,KISHANGANJ,20095,KISHANGANJ,NORTH BIHAR PUBLIC SCHOOL
69,68,137,0,3,2,1,2425995,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA ISLAMIYA HABIBIA -NISHANDRA
54,48,102,0,3,3,0,2445412,11,110,2008,KISHANGANJ,20095,KISHANGANJ,MADRASA RAHATUL MUSLEMIN
82,84,166,0,4,0,4,2466307,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS KASHI BARI
81,102,183,0,8,6,2,2501885,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UCHH MADHYAMIK VIDYALAY BOURI GACCH
114,104,218,0,8,3,5,2468855,11,110,2008,KISHANGANJ,20097,POTHIA,UMS  ATHIA BARI
47,63,110,0,4,2,2,2490358,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS TIHAKU TOLA MAHADEVDIGHI
111,186,297,0,6,5,1,2446154,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA ISLAMIYA HUSAINIYA DUMARIA
88,90,178,0,2,2,0,2411697,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADRASA RAHMANIANAWAB JAGIR BANGAWAN
46,53,99,0,3,2,1,2427378,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,NPS AAM DANGI DUBRI
64,90,154,0,4,1,3,2457271,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS KASHIBARI
133,138,271,0,9,4,5,2498275,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,"UCHH MADHYAMIK VIDYALAY, BUALDAH"
117,209,326,0,7,1,6,2426420,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS ATUFATGANJ
38,50,88,0,2,0,2,2484475,11,110,2008,KISHANGANJ,20098,THAKURGANJ,NPS AAMTOLA NANKAR
62,74,136,0,4,2,2,2476848,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS TOUFIR JHINGAKATTA
67,88,155,0,6,6,0,2467339,11,110,2008,KISHANGANJ,20096,TERHA GACHH,MADARSA ISLAMIYA ISLAHUL GHORABA
134,166,300,0,2,2,0,2456535,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,MADRASA  REYAZUL ULOOM  KATHALIA LOHAGARA
39,45,84,0,3,2,1,2432858,11,110,2008,KISHANGANJ,20096,TERHA GACHH,PS KASI BARI PIPRA
83,88,171,0,2,1,1,2498240,11,110,2008,KISHANGANJ,20097,POTHIA,"UCHH MADHYAMIK VIDYALAY, BUDHNAI"
131,156,287,0,7,5,2,2479955,11,110,2008,KISHANGANJ,20097,POTHIA,U.M.S BABHANBASTI
52,86,138,0,4,4,0,2422215,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA MAZHARUL ULOOM WAJIDIA DOHABARI
26,25,51,0,2,1,1,2466583,11,110,2008,KISHANGANJ,20097,POTHIA,NPS JABRAPOKHAR
40,25,65,0,2,2,0,2466398,11,110,2008,KISHANGANJ,20096,TERHA GACHH,PS BENUGADH DAKSHIN TOLA
18,15,33,0,3,1,2,2402019,11,110,2008,KISHANGANJ,20095,KISHANGANJ,P.S CHHAGALIYA IDGAHTOLA
33,52,85,0,3,2,1,2432665,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS UTTAR KUDHELI
122,147,269,0,10,6,4,2466579,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS BELGACHHI
118,122,240,0,6,5,1,2483984,11,110,2008,KISHANGANJ,20097,POTHIA,UMS INDRAPUR 1
62,39,101,0,3,3,0,2449827,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,N.P.S JAFAR TOLA KOIMARI
111,202,313,0,7,4,3,2491834,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS KUTTI
75,92,167,0,5,5,0,2436425,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA MIFTAHUL ULOOM KOIMARI CHANDWAR
35,33,68,0,4,1,3,2466587,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,PS BET BARI
43,63,106,0,2,1,1,2473852,11,110,2008,KISHANGANJ,20097,POTHIA,PS CHHAMATIA
98,86,184,0,4,2,2,2432868,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,PS UTTARTOLA TEGHARIA
136,176,312,0,7,3,4,2428605,11,110,2008,KISHANGANJ,20097,POTHIA,UMS  BEL POKHAR
326,327,653,0,8,6,2,2416899,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS JAMNIGURI
239,237,476,0,7,4,3,2465779,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,UMS KUTWABHITTA
93,88,181,0,5,5,0,2420110,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA MIFTAHUL ULOOM SIMALBARI MIRBHITTA
59,62,121,0,2,1,1,2413301,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS JAGIRTOLA NAYA BASTI SUNDERBARI
64,58,122,0,3,1,2,2467347,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS BETBARI ADIWASI TOLA
75,81,156,0,3,3,0,2490355,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS CHHOTA GORUMARA
71,72,143,0,4,0,4,2476583,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS WAHID TOLA EKRA
82,104,186,0,9,7,2,2435041,11,110,2008,KISHANGANJ,20098,THAKURGANJ,U.M.S.BESARBATI
55,97,152,0,8,3,5,2458019,11,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS JANAMJAY KAMAT
56,73,129,0,3,3,0,2432311,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,MADARSA MIFTAHUL ULUM BAISAJHIGAKATA
207,216,423,0,12,5,7,2414880,11,110,2008,KISHANGANJ,20095,KISHANGANJ,UMS LAHARA PHOOL BARI
48,61,109,0,4,1,3,2429093,11,110,2008,KISHANGANJ,20097,POTHIA,PS CHILHA MARI
91,86,177,0,6,1,5,2432873,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,NPS JALAL TOLA BISHANPUR
53,48,101,0,5,4,1,2464649,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,PS BET BARI BEP
38,25,63,0,4,2,2,2485338,11,110,2008,KISHANGANJ,20098,THAKURGANJ,PS YOGITOLA PATHARIA
332,420,752,0,10,9,1,2405690,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS BETBARI
55,61,116,0,6,4,2,2465952,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS JARIA BHITTA
112,110,222,0,6,3,3,2474317,11,110,2008,KISHANGANJ,20098,THAKURGANJ,UMS LAHU GACCH
77,119,196,0,5,4,1,2458020,11,110,2008,KISHANGANJ,20098,THAKURGANJ,MADARSA MINATUL QURAN JIYAPOKHAR
31,47,78,0,4,2,2,2435662,11,110,2008,KISHANGANJ,20096,TERHA GACHH,PS BHAG KAJLETA
51,65,116,0,2,2,0,2451235,11,110,2008,KISHANGANJ,20097,POTHIA,P.S. CHONCHPARA
37,32,69,0,3,2,1,2490362,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS JAMSHED NAGAR JHANTI BASTI FULBAN
35,29,64,0,2,1,1,2467344,11,110,2008,KISHANGANJ,20097,POTHIA,P.S. ZILOPANI
141,129,270,0,8,6,2,2479970,11,110,2008,KISHANGANJ,20101,KOCHADHAMAN,UMS BHAGBAISA
163,132,295,0,9,5,4,2414881,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS JHALA CHARGHARIA
71,79,150,0,6,2,4,2432853,11,110,2008,KISHANGANJ,20095,KISHANGANJ,U.M.S. LALBARI
53,74,127,0,6,6,0,2460512,11,110,2008,KISHANGANJ,20095,KISHANGANJ,MADARSA MISBAHUL ULOOM HUSSAIN NAGAR AMALJHARI
41,38,79,0,2,1,1,2418370,11,110,2008,KISHANGANJ,20098,THAKURGANJ,PS BHAGKHARANA
66,62,128,0,3,1,2,2414884,11,110,2008,KISHANGANJ,20100,BAHADURGANJ,NPS JAMSHED NAGAR NADITOLA GARGAON
32,44,76,0,3,1,2,2435045,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,PS CHUDHARI BASTI
40,44,84,0,2,2,0,2479961,11,110,2008,KISHANGANJ,20099,DIGHAL BANK,QUASIMUL ULOOM HANDIPOKHAR
58,57,115,0,5,4,1,2422208,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS BHAG JHUNKI
114,143,257,0,20,13,7,2410973,11,110,2008,KISHANGANJ,20096,TERHA GACHH,UMS  JHALA KANYA
