udiseschCode,yearId,yearDesc,stateName,districtName,blockName,villWardName,clusterName,assemblyCd,panDesc,cityDesc,municipalityDesc,assemblyCdDesc,parlCdDesc,schoolName,schLocRU,schLocDesc,schCategoryId,schCategoryDesc,schType,schTypeDesc,lowClass,highClass,schMgmtId,schMgmtCenterId,schMgmtStateDesc,schMgmtNationalDesc,schoolStatus,schStatusName,pincode,tchReg,tchCont,tchPart,tchCat1,tchCat2,tchCat3,tchCat4,tchCat5,tchCat6,tchCat7,tchCat8,tchCat10,tchCat11,totMale,totFemale,totNr,totalTeacher,tchAbove55,totTchBelowGraduate,totTchGraduateAbove,totTchPgraduateAbove,compM,compF,compT,tchInvlovedNonTchAssign,tchRecvdServiceTrng,partTimeInstructor,ftbPr,transptPr,uniformPr,ftbUpr,transptUpr,uniformUpr,totalGrant,totalExpediture,profQual1,profQual2,profQual3,profQual4,profQual5,profQual6,profQual7,profQual8,profQual10,profQual11,profQual12,lgdurbanlocalbodyId,lgdurbanlocalbodyName,lgdwardId,lgdwardName,lgdvillageId,lgdvillName,lgdpanchayatId,lgdvillpanchayatName,lgdblockId,lgdblockName,schoolId,stateId,districtId,blockId
******04601,9,2022-23,Bihar,KISHANGANJ,POTHIA,KACCHA KHUA,M.S. HARIPOKHAR KANTIGACHH,1008001,NA,NA,NA,,,UMS  KACCHA KHUA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,733207.0,6,0,0,0,2,4,0,0,0,0,0,0,0,6,0,0,6,0,3,2,1,0,0,0,6,0,0,0,0,0,0,0,0,0.0,0.0,6,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2416893,110,2008,20097
******10901,9,2022-23,Bihar,KISHANGANJ,TERHA GACHH,BHOJPUR BALUA,M S GAMHARIA,1008002,NA,NA,NA,,,PS KHURKHURIYA,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,854333.0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,2,0,0,0,,,,,,,-1,,,,2477765,110,2008,20096
******12501,9,2022-23,Bihar,KISHANGANJ,THAKURGANJ,KACHCHUDAHA,M.S.RUIDHASA,1008003,NA,NA,NA,,,UMS KACHCHUDAH,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855116.0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2473408,110,2008,20098
******06502,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,KOCHA DHAMAN,UMS TENA,1008004,NA,NA,NA,,,PS KOCHA DHAMAN GIRL,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855115.0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2468124,110,2008,20101
******04501,9,2022-23,Bihar,KISHANGANJ,POTHIA,KALIDAS KISMAT,U.M.S KUSIYARI,1008001,NA,NA,NA,,,U.M.S KACHKACHI PARA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855117.0,4,0,0,0,1,3,0,0,0,0,0,0,0,1,3,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,4,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2475010,110,2008,20097
******14701,9,2022-23,Bihar,KISHANGANJ,THAKURGANJ,KOIYA,M.S.BANDARJHULLA,1008003,NA,NA,NA,,,PS KOEYA (BEP),1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855107.0,4,0,0,4,0,0,0,0,0,0,0,0,0,2,2,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,2,0,0,0,0,2,0,0,0,,,,,,,-1,,,,2462999,110,2008,20098
******05401,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,KALA NAGIN,M.S.ALTA HAT,1008004,NA,NA,NA,,,UMS KALANAGIN,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855107.0,4,0,0,0,0,4,0,0,0,0,0,0,0,3,1,0,4,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,1,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2414885,110,2008,20101
******17801,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,HANDIBHASA,U M S AHMADNAGAR MOUDHO,1008004,NA,NA,NA,,,P.S KOITOR,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855115.0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,1,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2457278,110,2008,20101
******06001,9,2022-23,Bihar,KISHANGANJ,POTHIA,KALA SINGHIA,M.S DAMALBARI,1008001,NA,NA,NA,,,UMS  KALA SINGHIA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855107.0,3,0,0,0,1,2,0,0,0,0,0,0,0,2,1,0,3,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2432859,110,2008,20097
******02901,9,2022-23,Bihar,KISHANGANJ,POTHIA,KOLTHA,M.S MARIA,1008001,NA,NA,NA,,,PS KOLTHA,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855117.0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,3,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2466581,110,2008,20097
******05602,9,2022-23,Bihar,KISHANGANJ,KISHANGANJ,DAULA,U.M.S.JANAMJAY KAMAT,1008004,NA,NA,NA,,,UMS KALIBARI DAULA,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855107.0,3,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,3,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,1,0,0,0,,,,,,,-1,,,,2413385,110,2008,20095
******08401,9,2022-23,Bihar,KISHANGANJ,TERHA GACHH,KUCHHA BENUARH,M S KUWARI,1008002,NA,NA,NA,,,PS KUCHHA BENUGARH,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855101.0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2436754,110,2008,20096
******05201,9,2022-23,Bihar,KISHANGANJ,KOCHADHAMAN,KALKALI,U M S BIRWA KALKALI,1008004,NA,NA,NA,,,UMS KALKALI,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855107.0,7,0,0,1,0,6,0,0,0,0,0,0,0,6,1,0,7,0,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,7,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2415490,110,2008,20101
******04403,9,2022-23,Bihar,KISHANGANJ,TERHA GACHH,PIPRA,M S BAIRIA,1008002,NA,NA,NA,,,PS KUMHARTOLI PIPRA,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855101.0,2,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,2,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,0,0,0,0,0,0,0,0,0,,,,,,,-1,,,,2447308,110,2008,20096
******00402,9,2022-23,Bihar,KISHANGANJ,DIGHAL BANK,PATHAR GHATTI,M S LAXMIPUR BURZ TOLA,1008002,NA,NA,NA,,,UMS KALPIR,1,1-Rural,2,Primary with Upper Primary,3,3-Co-educational,1,8,1,1,Department of Education,Department of Education,0,Operational,855101.0,9,0,0,0,0,9,0,0,0,0,0,0,0,7,2,0,9,0,2,5,2,0,0,0,2,0,0,0,0,0,0,0,0,0.0,0.0,8,0,1,0,0,0,0,0,2,0,0,,,,,,,-1,,,,2432483,110,2008,20099
******10201,9,2022-23,Bihar,KISHANGANJ,DIGHAL BANK,DODRA,M.S.PATTHARGHATTI,1008002,NA,NA,NA,,,PS KURHELI BATHNA,1,1-Rural,1,Primary,3,3-Co-educational,1,5,1,1,Department of Education,Department of Education,0,Operational,855101.0,3,0,0,3,0,0,0,0,0,0,0,0,0,1,2,0,3,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,2,0,1,0,0,0,0,0,1,0,0,,,,,,,-1,,,,2447704,110,2008,20099
